stimolazione,inizio,marker,image_file,volume,start,trigger,img,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,Loop_trials.thisRepN,Loop_trials.thisTrialN,Loop_trials.thisN,Loop_trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,ISI.started,ISI.stopped,polygon.started,polygon.stopped,ISI_4.started,ISI_4.stopped,image_prova.started,image_prova.stopped,p_port.started,p_port.stopped,sound_1.started,sound_1.stopped,text_3.started,text_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_5.started,text_5.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,polygon_2.started,polygon_2.stopped,ISI_5.started,ISI_5.stopped,image.started,image.stopped,sound_2.started,sound_2.stopped,p_port_2.started,p_port_2.stopped,sound_3.started,sound_3.stopped,polygon_3.started,polygon_3.stopped,text_6.started,text_6.stopped,p_port_3.started,p_port_3.stopped,text_8.started,text_8.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_4.started,text_4.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_7.started,text_7.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,0.1,2,try/prova_disg_face_001.jpg,,,,,0,7,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2023_Nov_16_1138,experiment_old_ver,2020.1.3,143.72393192331958,
0,0.95,1,try/prova_happy_image.jpg,,,,,0,8,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.33604825404291,68.33604825404291,0.005523100666323444,None,68.33604825404291,None,0.005523100666323444,None,69.3345488146897,70.13787465136011,0.005183473645956838,0.014044117837329395,70.27704318257047,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2023_Nov_16_1138,experiment_old_ver,2020.1.3,143.72393192331958,
1,0.5,3,try/prova_disg_image_001.jpg,,,,,0,9,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.3747636177959,70.3747636177959,0.005686996605618333,None,70.3747636177959,None,0.005686996605618333,None,71.18063256775895,None,0.004951581739987887,0.013589635362222907,71.67544405856397,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2023_Nov_16_1138,experiment_old_ver,2020.1.3,143.72393192331958,
1,0.5,3,try/prova_disg_image_002.jpg,,,,,0,10,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.98595787072554,71.98595787072554,0.005691486904652265,None,71.98595787072554,None,0.005691486904652265,None,72.88844459868324,None,0.005666822330567811,0.11170589050379931,73.2857963803056,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2023_Nov_16_1138,experiment_old_ver,2020.1.3,143.72393192331958,
0,0.95,1,try/prova_disg_face_002.jpg,,,,,0,11,11,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,73.69182560189256,73.69182560189256,0.005489102683895908,None,73.69182560189256,None,0.005489102683895908,None,74.59442907764151,75.39786620959694,0.004940355990584067,0.11025135414547549,75.44645160483314,None,75.54416113504521,None,n,2.7656903899887766,75.54416113504521,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2023_Nov_16_1138,experiment_old_ver,2020.1.3,143.72393192331958,
0,0.95,1,try/prova_disg_face_002.jpg,,,,,0,11,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2023_Nov_16_1138,experiment_old_ver,2020.1.3,143.72393192331958,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.31659499293073,None,space,52.30253329877996,78.31659499293073,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2023_Nov_16_1138,experiment_old_ver,2020.1.3,143.72393192331958,
,,,,0,0.95,30,stimoli/disgust_image_013.jpg,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.75962912690647,None,0.0046664156379847554,None,131.69403835742287,132.4992754580744,132.63839780334575,None,0.001223285925334494,0.013308286014762416,,,,,,,,,,,,,,,,,,,,,,,3,001,2023_Nov_16_1138,experiment_old_ver,2020.1.3,143.72393192331958,
,,,,0,0.95,30,stimoli/disgust_image_003.jpg,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.72913037007766,None,0.005013772390157101,None,133.54909469143968,134.3504393437497,134.49656783944766,None,0.0001585396512382431,0.10554811805104691,,,,,,,,,,,,,,,,,,,,,,,3,001,2023_Nov_16_1138,experiment_old_ver,2020.1.3,143.72393192331958,
,,,,0,0.95,30,stimoli/disgust_image_014.jpg,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.59434568636152,None,0.005327772631972039,None,135.3996818943424,136.20469287633205,136.3438325413302,None,0.005631220668874448,0.014251633828280319,,,,,,,,,,,,,,,,,,,,,,,3,001,2023_Nov_16_1138,experiment_old_ver,2020.1.3,143.72393192331958,
,,,,0,0.95,30,stimoli/disgust_image_018.jpg,,,,,,,,,0,0,0,0,0,3,3,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.4345631836486,None,0.00531269805469492,None,137.26872390815151,138.06844435492349,138.21457188841515,None,0.003933374216103402,0.012666365602854057,139.2106739875656,None,138.31226249522115,139.11332682453758,139.10636846372745,None,0.8049956187505813,0.8189123403699341,,,,,,,,,,,,,,,3,001,2023_Nov_16_1138,experiment_old_ver,2020.1.3,143.72393192331958,
,,,,0,0.95,30,stimoli/disgust_image_018.jpg,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2023_Nov_16_1138,experiment_old_ver,2020.1.3,143.72393192331958,
,,,,1,0.245,32,stimoli/disgust_image_002.jpg,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.90741194522343,None,0.0050644486291275825,None,140.73014325338863,None,140.97174995317283,None,0.005522908226339496,0.014202336752532574,,,,,,,,,,,,,,,,,,,,,,,3,001,2023_Nov_16_1138,experiment_old_ver,2020.1.3,143.72393192331958,
,,,,1,0.245,32,stimoli/disgust_image_015.jpg,,,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.53118096164235,None,0.005171574349333241,None,142.50557342409775,None,142.78642149416675,None,0.0050478024468247895,0.07068572007665352,,,,,,,,,,,,,,,,,,,,,,,3,001,2023_Nov_16_1138,experiment_old_ver,2020.1.3,143.72393192331958,
,,,,0,0.95,30,stimoli/disgust_image_013.jpg,,,,,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.30749283476507,None,0.005113521190651227,None,144.20692904556745,145.00891965955816,145.05748837653874,None,0.005589204294665251,0.1115192223323902,,,,,,,,,,,,,,,,,,,,,,,3,001,2023_Nov_16_1138,experiment_old_ver,2020.1.3,143.72393192331958,
,,,,1,0.245,32,stimoli/disgust_image_014.jpg,,,,,,,,,0,0,0,0,0,7,7,7,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.15517834187358,None,0.005345733830836252,None,145.96025090511648,None,146.20051532603458,None,0.006403872947885247,0.016109334947941534,147.80342657975172,None,146.76525418944948,147.56665529124075,147.5597161745727,None,0.8054077641127151,0.819337315159828,,,,,,,,,,,,,,,3,001,2023_Nov_16_1138,experiment_old_ver,2020.1.3,143.72393192331958,
,,,,1,0.245,32,stimoli/disgust_image_014.jpg,,,,,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2023_Nov_16_1138,experiment_old_ver,2020.1.3,143.72393192331958,
,,,,0,0.95,30,stimoli/disgust_image_019.jpg,,,,,,,,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.36121093118527,None,0.005041676396103867,None,149.16809757549527,149.9741275347742,150.11329446230621,None,0.005459627074742457,0.11521858778814931,,,,,,,,,,,,,,,,,,,,,,,3,001,2023_Nov_16_1138,experiment_old_ver,2020.1.3,143.72393192331958,
,,,,0,0.95,30,stimoli/disgust_image_020.jpg,,,,,,,,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.2179735790769,None,0.005020828574743064,None,151.02760796604798,151.82811485673392,151.9742170521052,None,0.004654259754715895,0.11334613282542705,,,,,,,,,,,,,,,,,,,,,,,3,001,2023_Nov_16_1138,experiment_old_ver,2020.1.3,143.72393192331958,
,,,,1,0.245,32,stimoli/disgust_image_012.jpg,,,,,,,,,0,0,0,0,0,10,10,10,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.06497688137188,None,0.0053072455475557945,None,152.89403309735735,None,153.13562536403543,None,0.001520447541224712,0.010156897484193905,,,,,,,,,153.6981319070428,None,n,2.946917280982234,153.6981319070428,None,,,,,,,,,3,001,2023_Nov_16_1138,experiment_old_ver,2020.1.3,143.72393192331958,
,,,,1,0.245,32,stimoli/disgust_image_012.jpg,,,,,,,,,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2023_Nov_16_1138,experiment_old_ver,2020.1.3,143.72393192331958,
